"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2015","Y2015FN"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","26.50","NA, 1, 2, 7"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_CA","KAZ","Kazakhstan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","42.30","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_CA","KAZ","Kazakhstan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","41.90","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_CA","KAZ","Kazakhstan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","42.70","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SAS","IRN","Iran (Islamic Republic of)","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","19.30","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SAS","IRN","Iran (Islamic Republic of)","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","18.20","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SAS","IRN","Iran (Islamic Republic of)","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","20.30","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_EA","KOR","Republic of Korea","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","60.80","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_EA","KOR","Republic of Korea","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","55.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_EA","KOR","Republic of Korea","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","66.50","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SEAS","MYS","Malaysia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","38.00","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SEAS","SGP","Singapore","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","56.60","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SEAS","SGP","Singapore","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","54.70","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SEAS","SGP","Singapore","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","53.10","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","MDG_SEAS","THA","Thailand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","17.20","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","AZE","Azerbaijan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","48.70","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","BHR","Bahrain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","61.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","BHR","Bahrain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","61.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","BHR","Bahrain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","61.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","QAT","Qatar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","56.00","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","QAT","Qatar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","52.50","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","QAT","Qatar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","59.60","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_ASI_WA","PSE","State of Palestine","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","30.90","NA, 1, 2, 11"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_NA","EGY","Egypt","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","4.00","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_NA","EGY","Egypt","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","3.00","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_NA","EGY","Egypt","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","5.00","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_NA","MAR","Morocco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","25.50","NA, 1, 2, 12"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_NA","MAR","Morocco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","22.80","NA, 1, 2, 12"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_NA","MAR","Morocco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","28.30","NA, 1, 2, 12"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_EA","ZWE","Zimbabwe","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","4.30","NA, 1, 2, 13"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_EA","ZWE","Zimbabwe","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","3.30","NA, 1, 2, 13"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTATCH","+","Proportion of youth and adults with information and communications technology (ICT) skill, sending e-mails with attached files","M49_AFR_EA","ZWE","Zimbabwe","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","5.30","NA, 1, 2, 13"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_EUR_NE","ISL","Iceland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","80.20","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_EUR_NE","ISL","Iceland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","82.40","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_EUR_NE","ISL","Iceland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","78.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_LAC_CAR","DOM","Dominican Republic","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","22.50","NA, 1, 2"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","17.80","NA, 1, 2, 5"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","16.40","NA, 1, 2, 5"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","15.00","NA, 1, 2, 5"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","24.00","NA, 1, 2, 7"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","25.60","NA, 1, 2, 7"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_LAC_SA","BRA","Brazil","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","22.50","NA, 1, 2, 7"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_CA","KAZ","Kazakhstan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","15.80","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_CA","KAZ","Kazakhstan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","15.60","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_CA","KAZ","Kazakhstan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","15.70","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SAS","IRN","Iran (Islamic Republic of)","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","17.60","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SAS","IRN","Iran (Islamic Republic of)","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","17.60","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SAS","IRN","Iran (Islamic Republic of)","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","17.70","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SEAS","MYS","Malaysia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","52.90","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SEAS","SGP","Singapore","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","39.60","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SEAS","SGP","Singapore","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","36.20","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SEAS","SGP","Singapore","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","37.70","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","MDG_SEAS","THA","Thailand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","5.10","NA, 1, 2, 8"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","AZE","Azerbaijan","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","57.80","NA, 1, 2, 10"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","BHR","Bahrain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","54.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","BHR","Bahrain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","53.00","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","BHR","Bahrain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","55.80","NA, 1, 2, 3"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","QAT","Qatar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","32.90","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","QAT","Qatar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","34.00","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","QAT","Qatar","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","33.50","NA, 1, 2, 9"
"4","4.4","4.4.1","C040401","Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","SE_ADT_ICTCPPT","+","Proportion of youth and adults with information and communications technology (ICT) skill, using copy and paste tools to duplicate or move information within a document","M49_ASI_WA","PSE","State of Palestine","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","29.50","NA, 1, 2, 7"
