"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2000","Y2000FN","Y2001","Y2001FN","Y2002","Y2002FN","Y2003","Y2003FN","Y2004","Y2004FN","Y2005","Y2005FN","Y2006","Y2006FN","Y2007","Y2007FN","Y2008","Y2008FN","Y2009","Y2009FN","Y2010","Y2010FN","Y2011","Y2011FN","Y2012","Y2012FN","Y2013","Y2013FN","Y2014","Y2014FN","Y2015","Y2015FN"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","EST","Estonia","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","26.36","C, 1, 133","24.81","C, 2, 133","22.96","C, 3, 133","22.00","C, 4, 133","22.61","C, 5, 133","22.57","C, 6, 133","22.93","C, 7, 133","25.09","C, 8, 133","23.80","C, 9, 133","21.04","C, 10, 133","17.50","C, 11, 133","16.21","C, 12, 133","15.27","C, 13, 133","16.30","C, 14, 133","15.58","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","15.10","C, 1, 132","11.00","C, 2, 132","12.50","C, 3, 132","13.90","C, 4, 132","12.70","C, 5, 132","9.80","C, 6, 132","9.20","C, 7, 132","9.20","C, 8, 132","14.00","C, 9, 132","12.40","C, 10, 132","9.80","C, 11, 132","12.90","C, 12, 132","9.70","C, 13, 132","12.40","C, 14, 132","14.60","C, 15, 132","7.30","C, 16, 132"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","FIN","Finland","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","9.96","C, 1, 133","10.61","C, 2, 133","11.17","C, 3, 133","10.34","C, 4, 133","10.61","C, 5, 133","10.28","C, 6, 133","9.44","C, 7, 133","9.10","C, 8, 133","8.63","C, 9, 133","8.48","C, 10, 133","8.42","C, 11, 133","7.70","C, 12, 133","7.51","C, 13, 133","7.31","C, 14, 133","7.24","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","ISL","Iceland","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","22.87","C, 1, 133","19.61","C, 2, 133","18.48","C, 3, 133","16.13","C, 4, 133","12.48","C, 5, 133","14.19","C, 6, 133","13.64","C, 7, 133","14.11","C, 8, 133","14.48","C, 9, 133","14.60","C, 10, 133","13.00","C, 11, 133","10.96","C, 12, 133","11.42","C, 13, 133","7.35","C, 14, 133","7.64","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","IRL","Ireland","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","19.58","C, 1, 133","19.90","C, 2, 133","19.49","C, 3, 133","19.11","C, 4, 133","17.28","C, 5, 133","16.76","C, 6, 133","16.22","C, 7, 133","17.27","C, 8, 133","16.53","C, 9, 133","15.69","C, 10, 133","14.60","C, 11, 133","12.39","C, 12, 133","12.01","C, 13, 133","10.26","C, 14, 133","9.01","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","LVA","Latvia","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","18.30","C, 1, 132","17.30","C, 2, 132","16.10","C, 3, 132","16.80","C, 4, 132","16.30","C, 5, 132","16.40","C, 6, 132","18.40","C, 7, 132","18.60","C, 8, 132","19.50","C, 9, 132","16.20","C, 10, 132","13.60","C, 11, 132","14.60","C, 12, 132","15.30","C, 13, 132","15.30","C, 14, 132","15.40","C, 15, 132","18.10","C, 16, 132"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","LTU","Lithuania","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","24.70","C, 1, 133","21.15","C, 2, 133","20.87","C, 3, 133","21.03","C, 4, 133","20.02","C, 5, 133","19.67","C, 6, 133","20.43","C, 7, 133","19.41","C, 8, 133","19.25","C, 9, 133","16.14","C, 10, 133","13.24","C, 11, 133","14.05","C, 12, 133","14.52","C, 13, 133","14.21","C, 14, 133","13.57","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","NOR","Norway","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","11.74","C, 1, 133","11.04","C, 2, 133","10.06","C, 3, 133","9.06","C, 4, 133","8.16","C, 5, 133","8.05","C, 6, 133","8.72","C, 7, 133","9.09","C, 8, 133","9.30","C, 9, 133","9.51","C, 10, 133","8.43","C, 11, 133","7.10","C, 12, 133","6.04","C, 13, 133","5.65","C, 14, 133","5.02","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","SWE","Sweden","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","7.03","C, 1, 133","6.60","C, 2, 133","6.62","C, 3, 133","5.99","C, 4, 133","5.81","C, 5, 133","5.89","C, 6, 133","5.93","C, 7, 133","5.90","C, 8, 133","5.92","C, 9, 133","5.88","C, 10, 133","5.90","C, 11, 133","5.87","C, 12, 133","5.33","C, 13, 133","5.31","C, 14, 133","5.01","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","GBR","United Kingdom of Great Britain and Northern Ireland","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","28.94","C, 1, 133","27.67","C, 2, 133","26.71","C, 3, 133","26.61","C, 4, 133","26.62","C, 5, 133","26.12","C, 6, 133","26.21","C, 7, 133","25.74","C, 8, 133","25.56","C, 9, 133","24.62","C, 10, 133","23.20","C, 11, 133","21.06","C, 12, 133","19.74","C, 13, 133","17.26","C, 14, 133","15.52","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR","M49_EUR_SE","Southern Europe","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","12.10","1, 131","","","","","","","","","12.00","6, 131","","","","","","","","","10.80","11, 131","","","","","","","","","9.00","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","29.39","C, 2, 132","13.80","C, 3, 132","15.93","C, 4, 132","21.36","C, 5, 132","20.16","C, 6, 132","17.66","C, 7, 132","17.43","C, 8, 132","18.44","C, 9, 132","18.99","C, 10, 132","19.41","C, 11, 132","20.53","C, 12, 132","20.95","C, 13, 132","20.44","C, 14, 132","21.91","C, 15, 132","20.21","C, 16, 132"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","GRC","Greece","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","11.13","C, 2, 133","10.72","C, 3, 133","10.80","C, 4, 133","10.61","C, 5, 133","9.83","C, 6, 133","10.56","C, 7, 133","10.33","C, 8, 133","11.30","C, 9, 133","11.10","C, 10, 133","10.85","C, 11, 133","9.57","C, 12, 133","8.53","C, 13, 133","8.11","C, 14, 133","8.09","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","ITA","Italy","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","7.15","C, 1, 133","6.89","C, 2, 133","7.00","C, 3, 133","6.85","C, 4, 133","7.19","C, 5, 133","6.96","C, 6, 133","6.83","C, 7, 133","6.78","C, 8, 133","7.18","C, 9, 133","6.92","C, 10, 133","6.67","C, 11, 133","6.45","C, 12, 133","6.38","C, 13, 133","5.86","C, 14, 133","5.64","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","MLT","Malta","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","24.03","C, 1, 133","23.25","C, 2, 133","16.60","C, 3, 133","15.87","C, 4, 133","22.87","C, 5, 133","21.80","C, 6, 133","16.42","C, 7, 133","16.40","C, 8, 133","18.65","C, 9, 133","20.04","C, 10, 133","18.87","C, 11, 133","17.15","C, 12, 133","16.70","C, 13, 133","13.13","C, 14, 133","12.88","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","22.91","CA, 1, 134","","","","","18.65","CA, 4, 134","17.46","CA, 5, 134","16.22","C, 6, 133","16.25","C, 7, 133","17.56","C, 8, 133","20.21","C, 9, 133","22.78","C, 10, 133","16.78","C, 11, 133","14.26","C, 12, 133","13.31","C, 13, 133","11.97","C, 14, 133","11.16","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","PRT","Portugal","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","21.56","C, 1, 133","20.48","C, 2, 133","20.90","C, 3, 133","19.87","C, 4, 133","19.45","C, 5, 133","18.90","C, 6, 133","16.95","C, 7, 133","16.79","C, 8, 133","15.90","C, 9, 133","15.17","C, 10, 133","14.30","C, 11, 133","13.08","C, 12, 133","11.95","C, 13, 133","10.45","C, 14, 133","9.09","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","SVN","Slovenia","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","7.54","C, 1, 133","6.70","C, 2, 133","5.95","C, 3, 133","5.78","C, 4, 133","5.30","C, 5, 133","6.09","C, 6, 133","4.74","C, 7, 133","5.12","C, 8, 133","5.13","C, 9, 133","5.43","C, 10, 133","4.94","C, 11, 133","5.16","C, 12, 133","4.49","C, 13, 133","4.65","C, 14, 133","4.99","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","8.81","C, 1, 133","9.64","C, 2, 133","9.86","C, 3, 133","10.56","C, 4, 133","10.74","C, 5, 133","11.35","C, 6, 133","12.00","C, 7, 133","12.83","C, 8, 133","13.28","C, 9, 133","11.83","C, 10, 133","10.61","C, 11, 133","9.50","C, 12, 133","8.99","C, 13, 133","8.38","C, 14, 133","8.08","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR","M49_EUR_WE","Western Europe","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","11.00","1, 131","","","","","","","","","10.20","6, 131","","","","","","","","","8.70","11, 131","","","","","","","","","7.20","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_WE","FRA","France","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","12.28","C, 1, 133","12.73","C, 2, 133","12.04","C, 3, 133","11.66","C, 4, 133","11.68","C, 5, 133","11.51","C, 6, 133","11.53","C, 7, 133","11.37","C, 8, 133","11.50","C, 9, 133","11.12","C, 10, 133","11.06","C, 11, 133","10.70","C, 12, 133","10.72","C, 13, 133","10.06","C, 14, 133","9.92","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_WE","DEU","Germany","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","12.94","C, 1, 133","12.94","C, 2, 133","12.31","C, 3, 133","11.57","C, 4, 133","10.89","C, 5, 133","10.57","C, 6, 133","10.10","C, 7, 133","9.91","C, 8, 133","9.75","C, 9, 133","9.08","C, 10, 133","8.94","C, 11, 133","8.33","C, 12, 133","8.04","C, 13, 133","7.76","C, 14, 133","7.79","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_WE","NLD","Netherlands","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","7.36","C, 1, 133","7.76","C, 2, 133","7.59","C, 3, 133","7.06","C, 4, 133","6.29","C, 5, 133","5.77","C, 6, 133","5.23","C, 7, 133","5.19","C, 8, 133","5.18","C, 9, 133","5.32","C, 10, 133","5.13","C, 11, 133","4.83","C, 12, 133","4.53","C, 13, 133","3.91","C, 14, 133","3.68","C, 15, 133","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_WORLD","MDG_LAC","Latin America and the Caribbean","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","81.10","1, 131","","","","","","","","","74.50","6, 131","","","","","","","","","68.40","11, 131","","","","","","","","","64.10","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC","MDG_LAC_CAR","Caribbean","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","73.10","1, 131","","","","","","","","","66.60","6, 131","","","","","","","","","62.50","11, 131","","","","","","","","","57.60","16, 131"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","59.30","C, 1, 135","","","","","","","","","","","40.10","C, 7, 132","","","","","","","","","","","","","","","","","",""
