"Goal","Target","IndicatorRef","IndicatorId","IndicatorDescription","SeriesCode","SeriesType","SeriesDescription","ParentCountryOrAreaCode","CountryOrAreaCode","CountryOrAreaName","LDC","LLDC","SIDS","Frequency","SourceType","AgeGroup","Location","Sex","Value type","Unit","UnitMultiplier","Y2000","Y2000FN","Y2001","Y2001FN","Y2002","Y2002FN","Y2003","Y2003FN","Y2004","Y2004FN","Y2005","Y2005FN","Y2006","Y2006FN","Y2007","Y2007FN","Y2008","Y2008FN","Y2009","Y2009FN","Y2010","Y2010FN","Y2011","Y2011FN","Y2012","Y2012FN","Y2013","Y2013FN","Y2014","Y2014FN","Y2015","Y2015FN","Y2016","Y2016FN"
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","13.76","C, 10, 18","","","","","","","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","10.50","C, 10, 18","","","","","","","","","","","","","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","BGR","Bulgaria","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","28.29","C, 4, 19, 31","24.37","C, 5, 19","25.05","C, 6, 19, 31","22.24","C, 7, 19, 31","19.14","C, 8, 19","17.40","C, 9, 19, 31","19.45","C, 10, 19","21.03","C, 11, 19, 31","21.81","C, 12, 19, 31","21.53","C, 13, 19","21.60","C, 14, 19","20.24","C, 15, 19","19.28","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","BGR","Bulgaria","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","29.07","C, 4, 19, 31","25.87","C, 5, 19","26.48","C, 6, 19, 31","24.66","C, 7, 19, 31","20.62","C, 8, 19","19.32","C, 9, 19, 31","20.87","C, 10, 19","21.81","C, 11, 19, 31","21.87","C, 12, 19, 31","21.49","C, 13, 19","21.10","C, 14, 19","21.35","C, 15, 19","19.98","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","BGR","Bulgaria","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","27.52","C, 4, 19, 31","22.90","C, 5, 19","23.66","C, 6, 19, 31","19.89","C, 7, 19, 31","17.71","C, 8, 19","15.57","C, 9, 19, 31","18.10","C, 10, 19","20.29","C, 11, 19, 31","21.76","C, 12, 19, 31","21.57","C, 13, 19","22.07","C, 14, 19","19.19","C, 15, 19","18.62","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","CZE","Czechia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","11.62","C, 4, 19","12.58","C, 5, 19","13.25","C, 6, 19, 31","9.16","C, 7, 19, 31","6.93","C, 8, 19","6.70","C, 9, 19","8.51","C, 10, 19","8.83","C, 11, 19","8.28","C, 12, 19, 31","8.89","C, 13, 19","9.13","C, 14, 19, 31","8.11","C, 15, 19","7.47","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","CZE","Czechia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","14.56","C, 4, 19","14.22","C, 5, 19","15.41","C, 6, 19, 31","11.10","C, 7, 19, 31","9.11","C, 8, 19","8.75","C, 9, 19","9.89","C, 10, 19","10.27","C, 11, 19","9.50","C, 12, 19, 31","9.77","C, 13, 19","10.81","C, 14, 19, 31","9.85","C, 15, 19","9.52","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","CZE","Czechia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","8.67","C, 4, 19","10.98","C, 5, 19","11.19","C, 6, 19, 31","7.32","C, 7, 19, 31","4.87","C, 8, 19","4.77","C, 9, 19","7.21","C, 10, 19","7.47","C, 11, 19","7.13","C, 12, 19, 31","8.05","C, 13, 19","7.52","C, 14, 19, 31","6.45","C, 15, 19","5.52","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","HUN","Hungary","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","12.38","C, 5, 19","18.79","C, 6, 19, 31","12.43","C, 7, 19, 31","11.46","C, 8, 19","11.46","C, 9, 19","13.60","C, 10, 19","12.56","C, 11, 19","13.21","C, 12, 19","14.78","C, 13, 19","15.47","C, 14, 19","13.62","C, 15, 19","11.58","C, 16, 19, 31","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","HUN","Hungary","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","14.45","C, 5, 19","20.82","C, 6, 19, 31","13.86","C, 7, 19, 31","13.03","C, 8, 19","12.91","C, 9, 19","14.52","C, 10, 19","13.43","C, 11, 19","14.33","C, 12, 19","15.98","C, 13, 19","17.41","C, 14, 19","15.31","C, 15, 19","12.79","C, 16, 19, 31","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","HUN","Hungary","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","10.33","C, 5, 19","16.80","C, 6, 19, 31","11.03","C, 7, 19, 31","9.92","C, 8, 19","10.06","C, 9, 19","12.72","C, 10, 19","11.71","C, 11, 19","12.14","C, 12, 19","13.65","C, 13, 19","13.61","C, 14, 19","12.01","C, 15, 19","10.42","C, 16, 19, 31","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","POL","Poland","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","14.48","C, 5, 19","13.91","C, 6, 19, 31","12.61","C, 7, 19","10.59","C, 8, 19","9.04","C, 9, 19","10.11","C, 10, 19","10.77","C, 11, 19","11.50","C, 12, 19","11.82","C, 13, 19","12.21","C, 14, 19","11.98","C, 15, 19","10.99","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","POL","Poland","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","14.45","C, 5, 19","14.46","C, 6, 19, 31","13.11","C, 7, 19","11.94","C, 8, 19","10.82","C, 9, 19","10.83","C, 10, 19","11.01","C, 11, 19","11.84","C, 12, 19","12.19","C, 13, 19","12.31","C, 14, 19","11.96","C, 15, 19","10.81","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","POL","Poland","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","14.52","C, 5, 19","13.38","C, 6, 19, 31","12.13","C, 7, 19","9.26","C, 8, 19","7.29","C, 9, 19","9.40","C, 10, 19","10.54","C, 11, 19","11.19","C, 12, 19","11.47","C, 13, 19","12.13","C, 14, 19","11.99","C, 15, 19","11.15","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","MDA","Republic of Moldova","","True","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","27.71","C, 10, 19, 25","28.77","C, 11, 19, 25","29.19","C, 12, 19, 25","29.26","C, 13, 19, 25","28.64","C, 14, 19, 25","30.88","C, 15, 19, 25","27.83","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","MDA","Republic of Moldova","","True","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","24.20","C, 10, 19, 25","24.51","C, 11, 19, 25","26.25","C, 12, 19, 25","25.85","C, 13, 19, 25","25.55","C, 14, 19, 25","27.74","C, 15, 19, 25","25.23","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","MDA","Republic of Moldova","","True","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","31.01","C, 10, 19, 25","32.76","C, 11, 19, 25","31.96","C, 12, 19, 25","32.38","C, 13, 19, 25","31.42","C, 14, 19, 25","33.57","C, 15, 19, 25","30.19","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","ROU","Romania","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","19.33","C, 4, 19, 31","18.84","C, 5, 19","16.80","C, 6, 19, 31","14.77","C, 7, 19, 31","13.31","C, 8, 19","11.57","C, 9, 19","13.94","C, 10, 19","16.60","C, 11, 19, 31","17.47","C, 12, 19","16.81","C, 13, 19","16.96","C, 14, 19","17.01","C, 15, 19","18.08","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","ROU","Romania","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","21.32","C, 4, 19, 31","19.80","C, 5, 19","18.78","C, 6, 19, 31","16.63","C, 7, 19, 31","15.13","C, 8, 19","14.46","C, 9, 19","16.76","C, 10, 19","19.19","C, 11, 19, 31","18.71","C, 12, 19","18.53","C, 13, 19","18.72","C, 14, 19","18.79","C, 15, 19","21.39","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","ROU","Romania","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","17.37","C, 4, 19, 31","17.89","C, 5, 19","14.87","C, 6, 19, 31","12.96","C, 7, 19, 31","11.58","C, 8, 19","8.81","C, 9, 19","11.24","C, 10, 19","14.18","C, 11, 19, 31","16.30","C, 12, 19","15.18","C, 13, 19","15.31","C, 14, 19","15.34","C, 15, 19","14.98","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","14.08","C, 10, 19, 25","14.21","C, 11, 19, 25","12.69","C, 12, 19, 25","11.99","C, 13, 19, 25","11.82","C, 14, 19, 25","12.03","C, 15, 19, 25","12.03","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","17.76","C, 10, 19, 25","18.18","C, 11, 19, 25","15.12","C, 12, 19, 25","14.36","C, 13, 19, 25","14.44","C, 14, 19, 25","14.66","C, 15, 19, 25","14.52","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","10.49","C, 10, 19, 25","10.34","C, 11, 19, 25","10.33","C, 12, 19, 25","9.71","C, 13, 19, 25","9.30","C, 14, 19, 25","9.50","C, 15, 19, 25","9.65","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","SVK","Slovakia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","16.98","C, 4, 19","17.08","C, 5, 19","15.85","C, 6, 19, 31","14.36","C, 7, 19","12.55","C, 8, 19","11.06","C, 9, 19","12.55","C, 10, 19","14.09","C, 11, 19","13.81","C, 12, 19","13.81","C, 13, 19","13.69","C, 14, 19","12.80","C, 15, 19","13.72","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","SVK","Slovakia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","17.11","C, 4, 19","17.99","C, 5, 19","17.33","C, 6, 19, 31","16.03","C, 7, 19","14.11","C, 8, 19","12.54","C, 9, 19","12.92","C, 10, 19","14.42","C, 11, 19","13.74","C, 12, 19","13.07","C, 13, 19","13.12","C, 14, 19","12.84","C, 15, 19","14.17","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","SVK","Slovakia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","16.85","C, 4, 19","16.17","C, 5, 19","14.42","C, 6, 19, 31","12.76","C, 7, 19","11.05","C, 8, 19","9.64","C, 9, 19","12.19","C, 10, 19","13.78","C, 11, 19","13.88","C, 12, 19","14.52","C, 13, 19","14.24","C, 14, 19","12.77","C, 15, 19","13.30","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","UKR","Ukraine","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.98","C, 15, 19, 25","17.63","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","UKR","Ukraine","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.93","C, 15, 19, 25","20.47","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_EE","UKR","Ukraine","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.24","C, 15, 19, 25","14.93","C, 16, 19, 25","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","DNK","Denmark","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","5.44","C, 4, 19","5.45","C, 5, 19","4.31","C, 6, 19, 31","3.62","C, 7, 19","4.30","C, 8, 19","4.30","C, 9, 19","5.40","C, 10, 19","6.04","C, 11, 19","6.25","C, 12, 19","6.63","C, 13, 19","6.03","C, 14, 19","5.78","C, 15, 19","6.20","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","DNK","Denmark","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","5.41","C, 4, 19","6.52","C, 5, 19","5.07","C, 6, 19, 31","3.81","C, 7, 19","3.84","C, 8, 19","4.16","C, 9, 19","4.93","C, 10, 19","5.38","C, 11, 19","6.12","C, 12, 19","6.66","C, 13, 19","5.78","C, 14, 19","5.36","C, 15, 19","6.13","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","DNK","Denmark","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","5.46","C, 4, 19","4.37","C, 5, 19","3.57","C, 6, 19, 31","3.42","C, 7, 19","4.73","C, 8, 19","4.44","C, 9, 19","5.85","C, 10, 19","6.68","C, 11, 19","6.39","C, 12, 19","6.60","C, 13, 19","6.26","C, 14, 19","6.19","C, 15, 19","6.27","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","EST","Estonia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","12.12","C, 4, 19","15.14","C, 5, 19","10.94","C, 6, 19, 31","8.91","C, 7, 19, 31","9.39","C, 8, 19","9.09","C, 9, 19","14.47","C, 10, 19","14.03","C, 11, 19","11.57","C, 12, 19","12.20","C, 13, 19","11.32","C, 14, 19","11.66","C, 15, 19, 31","10.84","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","EST","Estonia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","13.76","C, 4, 19","16.77","C, 5, 19","14.14","C, 6, 19, 31","11.36","C, 7, 19, 31","10.06","C, 8, 19","9.71","C, 9, 19","14.50","C, 10, 19","13.45","C, 11, 19","11.36","C, 12, 19","13.20","C, 13, 19","11.82","C, 14, 19","11.57","C, 15, 19, 31","12.77","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","EST","Estonia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","10.52","C, 4, 19","13.56","C, 5, 19","7.86","C, 6, 19, 31","6.56","C, 7, 19, 31","8.75","C, 8, 19","8.50","C, 9, 19","14.44","C, 10, 19","14.58","C, 11, 19","11.76","C, 12, 19","11.22","C, 13, 19","10.83","C, 14, 19","11.75","C, 15, 19, 31","8.96","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","FIN","Finland","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","10.96","C, 4, 19","9.78","C, 5, 19","8.09","C, 6, 19, 31","7.86","C, 7, 19","7.09","C, 8, 19","7.95","C, 9, 19, 31","9.84","C, 10, 19","9.02","C, 11, 19","8.43","C, 12, 19","8.56","C, 13, 19","9.30","C, 14, 19","10.17","C, 15, 19","10.56","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","FIN","Finland","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","11.62","C, 4, 19","10.33","C, 5, 19","8.21","C, 6, 19, 31","8.50","C, 7, 19","7.86","C, 8, 19","8.09","C, 9, 19, 31","9.18","C, 10, 19","8.63","C, 11, 19","8.15","C, 12, 19","8.57","C, 13, 19","8.06","C, 14, 19","8.51","C, 15, 19","9.60","C, 16, 19","",""
"8","8.6","8.6.1","C080601","Proportion of youth (aged 15-24 years) not in education, employment or training","SL_TLF_NEET","SD","Proportion of youth not in education, employment or training","M49_EUR_NE","FIN","Finland","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","10.29","C, 4, 19","9.22","C, 5, 19","7.96","C, 6, 19, 31","7.21","C, 7, 19","6.30","C, 8, 19","7.80","C, 9, 19, 31","10.52","C, 10, 19","9.41","C, 11, 19","8.71","C, 12, 19","8.54","C, 13, 19","10.55","C, 14, 19","11.84","C, 15, 19","11.53","C, 16, 19","",""
