"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN"
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","CHL","Chile","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","85.17","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","CHL","Chile","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","84.13","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","COL","Colombia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","52.01","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","COL","Colombia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","53.48","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","COL","Colombia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","50.50","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","ECU","Ecuador","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","52.16","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","ECU","Ecuador","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","52.91","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","ECU","Ecuador","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","51.53","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","PRY","Paraguay","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","33.49","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","PRY","Paraguay","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","33.62","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","PRY","Paraguay","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","33.36","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","PER","Peru","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","60.41","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","PER","Peru","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","58.28","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","PER","Peru","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","62.32","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","URY","Uruguay","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","68.08","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","URY","Uruguay","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","70.52","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_LAC_SA","URY","Uruguay","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","65.85","C, 4, 11","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_EA","BDI","Burundi","True","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","96.70","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_EA","BDI","Burundi","True","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","96.80","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_EA","BDI","Burundi","True","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","96.50","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","CMR","Cameroon","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","55.30","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","CMR","Cameroon","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","51.00","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","CMR","Cameroon","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","59.80","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","TCD","Chad","True","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","48.00","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","TCD","Chad","True","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","34.90","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","TCD","Chad","True","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","60.00","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","COG","Congo","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","70.90","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","COG","Congo","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","70.00","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_MA","COG","Congo","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","71.80","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_WA","BEN","Benin","True","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","33.60","C, 5, 12","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_G23_MATH","SD","Proportion of children in grades 2/3 achieving at least a minimum proficiency level in mathematics","M49_AFR_WA","BEN","Benin","True","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","35.70","C, 5, 12","",""
